日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-05 22:54:38,細矢花,,ストレート,真ん中高め,0 ,右,ボール, , ,なし
2025-08-05 22:55:02,細矢花,,ストレート,真ん中,1B ,右,72B , , ,左中間
2025-08-13 23:55:08,細矢花,,カーブ,真ん中低め,0,左,ストライク, , ,なし
2025-08-13 23:55:20,細矢花,,カーブ,外角真ん中,1S ,左,ストライク, , ,なし
2025-08-13 23:55:38,細矢花,,ストレート,外角低め,2S ,左,ボール, , ,なし
2025-08-13 23:55:54,細矢花,,カーブ,外角高め,1B2S ,左,ボール, , ,なし
2025-08-13 23:56:09,細矢花,,ストレート,外角低め,2B2S ,左,ファール, , ,なし
2025-08-13 23:56:36,細矢花,,ストレート,真ん中低め,2B2S ,左,8ヒット, , ,センター
2025-08-13 23:57:07,細矢花,,カーブ,外角真ん中,0,左,ストライク, , ,なし
2025-08-13 23:57:35,細矢花,,ストレート,真ん中低め,1S ,左,4ゴロ, , ,セカンド
2025-08-13 23:58:27,細矢花,,ストレート,内角高め,0,右,ボール, , ,なし
2025-08-13 23:58:40,細矢花,,ストレート,真ん中高め,1B ,右,ファール, , ,なし
2025-08-13 23:59:02,細矢花,,カーブ,外角真ん中,1B1S,右,ストライク, , ,なし
2025-08-13 23:59:21,細矢花,,カーブ,外角真ん中,1B2S ,右,見三振, , ,なし
2025-08-13 23:59:41,細矢花,,スライダー,真ん中高め,0,左,ボール, , ,なし
2025-08-13 23:59:57,細矢花,,ストレート,真ん中低め,1B ,左,ボール, , ,なし
2025-08-14 00:00:26,細矢花,,ストレート,真ん中,2B ,左,4ゴロ, , ,セカンド
2025-08-14 00:00:41,細矢花,,カーブ,外角低め,0,右,ストライク, , ,なし
2025-08-14 00:00:58,細矢花,,スライダー,外角低め,1S ,右,6ゴロ, , ,ショート
2025-08-14 00:01:26,細矢花,,カーブ,内角真ん中,0,右,ストライク, , ,なし
2025-08-14 00:01:40,細矢花,,カーブ,内角高め,1S ,右,ボール, , ,なし
2025-08-14 00:01:54,細矢花,,カーブ,真ん中,1B1S,右,5ゴロ, , ,サード
2025-08-14 00:02:16,細矢花,,ストレート,外角低め,0,右,ストライク, , ,なし
2025-08-14 00:02:29,細矢花,,カーブ,外角低め,1S ,右,1ゴロ, , ,なし
2025-08-14 00:02:49,細矢花,,ストレート,内角真ん中,0,左,ストライク, , ,なし
2025-08-14 00:03:17,細矢花,,ストレート,内角真ん中,1S ,左,3ゴロ, , ,ファースト
2025-08-14 00:03:57,細矢花,,ストレート,外角真ん中,0,左,ストライク, , ,なし
2025-08-14 00:04:10,細矢花,,ストレート,外角高め,1S ,左,ボール, , ,なし
2025-08-14 00:04:30,細矢花,,ストレート,内角真ん中,1B1S,左,9ヒット, , ,ライト
2025-08-14 00:04:48,細矢花,,ストレート,外角高め,0,左,ボール, , ,なし
2025-08-14 00:05:14,細矢花,,ストレート,真ん中低め,1B ,左,ボール, , ,なし
2025-08-14 00:05:34,細矢花,,ストレート,真ん中,2B ,左,ファール, , ,なし
2025-08-14 00:06:01,細矢花,,カーブ,真ん中,2B1S ,左,5バント, , ,サード
2025-08-14 00:06:18,細矢花,,カーブ,内角真ん中,0,左,ファール, , ,なし
2025-08-14 00:06:41,細矢花,,スライダー,内角真ん中,1S ,左,ストライク, , ,なし
2025-08-14 00:07:02,細矢花,,ストレート,外角高め,2S ,左,ファール, , ,なし
2025-08-14 00:07:28,細矢花,,ストレート,外角真ん中,2S ,左,6ゴロ, , ,ショート
2025-08-14 00:07:53,細矢花,,スライダー,外角真ん中,0,右,8フライ, , ,センター
2025-08-14 00:08:15,細矢花,,カーブ,外角真ん中,0,左,ストライク, , ,なし
2025-08-14 00:08:39,細矢花,,ストレート,外角高め,1B1S,左,ボール, , ,なし
2025-08-14 00:08:56,細矢花,,ストレート,外角真ん中,2B1S ,左,ファール, , ,なし
2025-08-14 00:09:14,細矢花,,カーブ,外角真ん中,2B2S ,左,ファール, , ,なし
2025-08-14 00:09:40,細矢花,,ストレート,真ん中高め,2B2S ,左,7フライ, , ,レフト
2025-08-14 00:10:11,細矢花,,ストレート,内角真ん中,0,右,ストライク, , ,なし
2025-08-14 00:10:21,細矢花,,カーブ,外角真ん中,1S ,右,ストライク, , ,なし
2025-08-14 00:11:03,細矢花,,チェンジアップ,外角真ん中,2S ,右,8ヒット, , ,センター
2025-08-14 00:11:43,細矢花,,カーブ,外角低め,0,右,4ヒット, , ,セカンド
2025-08-14 00:12:16,細矢花,,ストレート,外角高め,0,右,ボール, , ,なし
2025-08-14 00:12:40,細矢花,,カーブ,真ん中,1B ,右,ファール, , ,なし
2025-08-14 00:13:08,細矢花,,カーブ,外角真ん中,1B1S,右,1バント, , ,なし
2025-08-14 00:13:30,細矢花,,カーブ,外角低め,0,左,ボール, , ,なし
2025-08-14 00:13:40,細矢花,,ストレート,外角低め,1B ,左,ストライク, , ,なし
2025-08-14 00:14:21,細矢花,,ストレート,真ん中,1B1S,左,9HR , , ,右中間
2025-08-14 00:14:54,細矢花,,スライダー,真ん中,0,左,ストライク, , ,なし
2025-08-14 00:15:06,細矢花,,カーブ,外角真ん中,1S ,左,ボール, , ,なし
2025-08-14 00:15:21,細矢花,,カーブ,真ん中低め,1B1S,左,3ゴロ, , ,ファースト
