日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-18 15:53:38,吉森みひろ,,ストレート,真ん中高め,0,右,ボール, , ,なし
2025-08-18 15:53:53,吉森みひろ,,ストレート,外角低め,1B ,右,ボール, , ,なし
2025-08-18 15:54:14,吉森みひろ,,ストレート,外角低め,2B ,右,ボール, , ,なし
2025-08-18 15:54:26,吉森みひろ,,ストレート,内角真ん中,3B ,右,ストライク, , ,なし
2025-08-18 15:54:37,吉森みひろ,,ストレート,真ん中,3B1S ,右,ファール, , ,なし
2025-08-18 15:55:02,吉森みひろ,,ストレート,真ん中高め,3B2S ,右,7フライ, , ,レフト
2025-08-18 15:55:23,吉森みひろ,,ストレート,真ん中,0,右,ストライク, , ,なし
2025-08-18 15:55:39,吉森みひろ,,カーブ,外角低め,1S ,右,ファール, , ,なし
2025-08-18 15:56:09,吉森みひろ,,ストレート,外角真ん中,2S ,右,ボール, , ,なし
2025-08-18 15:56:23,吉森みひろ,,ストレート,外角低め,1B2S ,右,ボール, , ,なし
2025-08-18 15:56:39,吉森みひろ,,カーブ,真ん中,2B2S ,右,ファール, , ,なし
2025-08-18 15:57:04,吉森みひろ,,ストレート,真ん中高め,2B2S ,右,6フライ, , ,ショート
2025-08-18 15:57:29,吉森みひろ,,スライダー,外角真ん中,0,左,ボール, , ,なし
2025-08-18 15:57:34,吉森みひろ,,スライダー,外角真ん中,1B ,左,ストライク, , ,なし
2025-08-18 16:02:17,吉森みひろ,,,,,,ストライク, , ,なし
2025-08-18 16:09:18,吉森みひろ,,ストレート,外角高め,0,左,ストライク, , ,なし
2025-08-18 16:09:27,吉森みひろ,,ストレート,外角高め,1S ,左,ファール, , ,なし
2025-08-18 16:09:38,吉森みひろ,,ストレート,外角高め,2S ,左,ファール, , ,なし
2025-08-18 16:11:08,吉森みひろ,,カーブ,外角真ん中,1B2S ,左,空三振, , ,なし
2025-08-18 16:11:26,吉森みひろ,,ストレート,外角真ん中,0,左,6ゴロ, , ,ショート
2025-08-18 16:25:43,吉森みひろ,,カーブ,外角低め,0,右,ボール, , ,なし
2025-08-18 16:26:02,吉森みひろ,,ストレート,外角真ん中,1B ,右,ストライク, , ,なし
2025-08-18 16:26:14,吉森みひろ,,カーブ,真ん中低め,1B1S,右,8フライ, , ,なし
2025-08-18 16:26:33,吉森みひろ,,スライダー,真ん中,0,右,ストライク, , ,センター
2025-08-18 16:26:54,吉森みひろ,,カーブ,内角高め,1S ,右,ボール, , ,なし
2025-08-18 16:27:08,吉森みひろ,,スライダー,真ん中高め,1B1S,右,ファール, , ,なし
2025-08-18 16:27:28,吉森みひろ,,カーブ,内角高め,1B2S ,右,ボール, , ,なし
