日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-17 18:46:50,大野瑛,92.0,ストレート,外角低め,0,右,ストライク, , ,なし
2025-08-17 18:47:03,大野瑛,85.0,カーブ,外角低め,1S ,右,ボール, , ,なし
2025-08-17 18:47:14,大野瑛,87.0,スライダー,外角真ん中,1B1S,右,ストライク, , ,なし
2025-08-17 18:47:28,大野瑛,86.0,スライダー,外角真ん中,1B2S ,右,ボール, , ,なし
2025-08-17 18:47:40,大野瑛,,スライダー,真ん中低め,2B2S ,右,6ゴロ, , ,ショート
2025-08-17 18:47:59,大野瑛,83.0,スライダー,真ん中,0,左,3E , , ,ファースト
2025-08-17 18:48:07,大野瑛,91.0,ストレート,内角真ん中,0,右,ストライク, , ,なし
2025-08-17 18:48:24,大野瑛,87.0,ストレート,真ん中低め,1S ,右,6ゴロ, , ,ショート
2025-08-19 16:19:46,大野瑛,,スライダー,外角真ん中,0,左,ボール, , ,なし
2025-08-19 16:19:55,大野瑛,,カーブ,内角高め,1B ,左,ボール, , ,なし
2025-08-19 16:20:05,大野瑛,,スライダー,外角低め,2B ,左,1ゴロ, , ,なし
2025-08-19 16:20:16,大野瑛,,ストレート,真ん中,0,左,8ヒット, , ,センター
2025-08-19 16:20:24,大野瑛,,スライダー,外角低め,0,右,ボール, , ,なし
2025-08-19 16:20:31,大野瑛,,スライダー,外角高め,1B ,右,ボール, , ,なし
2025-08-19 16:20:37,大野瑛,,ストレート,外角低め,2B ,右,ボール, , ,なし
2025-08-19 16:20:44,大野瑛,,スライダー,内角高め,3B ,右,四球, , ,なし
2025-08-19 16:20:53,大野瑛,,ストレート,外角低め,0,右,ボール, , ,なし
2025-08-19 16:20:59,大野瑛,,スライダー,真ん中低め,1B ,右,ストライク, , ,なし
2025-08-19 16:21:07,大野瑛,,スライダー,外角低め,1B1S,右,ボール, , ,なし
2025-08-19 16:21:16,大野瑛,,ストレート,内角低め,2B1S ,右,ボール, , ,なし
2025-08-19 16:21:22,大野瑛,,スライダー,内角低め,3B1S ,右,四球, , ,なし
2025-08-19 16:21:31,大野瑛,,スライダー,外角低め,0,左,ファール, , ,なし
2025-08-19 16:21:38,大野瑛,,スライダー,外角低め,1S ,左,ファール, , ,なし
2025-08-19 16:21:51,大野瑛,,スライダー,真ん中高め,2S ,左,ボール, , ,なし
2025-08-19 16:22:03,大野瑛,,スライダー,真ん中,1B2S ,左,2バント, , ,なし
2025-08-19 16:22:21,大野瑛,,スライダー,真ん中低め,0,右,72B , , ,レフト
2025-08-19 16:22:29,大野瑛,,ストレート,外角高め,0,右,ボール, , ,なし
2025-08-19 16:22:40,大野瑛,,スライダー,真ん中低め,1B ,右,5バント, , ,サード
2025-08-19 16:23:00,大野瑛,,ストレート,外角低め,0,右,ボール, , ,なし
2025-08-19 16:23:07,大野瑛,,ストレート,外角低め,1B ,右,ボール, , ,なし
2025-08-19 16:23:13,大野瑛,,スライダー,内角低め,2B ,右,ボール, , ,なし
2025-08-19 16:23:21,大野瑛,,スライダー,内角高め,,右,死球, , ,なし
2025-08-20 21:45:14,大野瑛,,スライダー,真ん中高め,0,左,ボール, , ,なし
2025-08-20 21:45:19,大野瑛,,ストレート,真ん中高め,1B ,左,ボール, , ,なし
2025-08-20 21:45:25,大野瑛,,ストレート,真ん中高め,2B ,左,ボール, , ,なし
2025-08-20 21:45:30,大野瑛,,スライダー,外角低め,3B ,左,ストライク, , ,なし
2025-08-20 21:45:37,大野瑛,,スライダー,真ん中,3B1S ,左,ストライク, , ,なし
2025-08-20 21:45:43,大野瑛,,ストレート,外角真ん中,3B2S ,左,見三振, , ,なし
2025-08-20 21:45:50,大野瑛,,ストレート,内角真ん中,0,右,ボール, , ,なし
