日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-17 12:20:23,隅田百夏,87.0,スライダー,外角真ん中,1B1S,右,スイング, , ,なし
2025-08-17 12:20:35,隅田百夏,,ストレート,外角高め,1B2S ,右,ボール, , ,なし
2025-08-17 12:20:52,隅田百夏,,ストレート,内角高め,2B2S ,右,4フライ, , ,セカンド
2025-08-17 12:21:00,隅田百夏,,チェンジアップ,真ん中,0,右,5ゴロ, , ,サード
2025-08-17 12:21:10,隅田百夏,,ストレート,内角真ん中,0,右,ボール, , ,なし
2025-08-17 12:21:28,隅田百夏,,チェンジアップ,内角高め,1B ,右,5ゴロ, , ,サード
2025-08-17 12:35:00,隅田百夏,,ストレート,内角真ん中,0,右,ボール, , ,なし
2025-08-17 12:35:08,隅田百夏,,ストレート,外角高め,1B ,右,ボール, , ,なし
2025-08-17 12:35:15,隅田百夏,,ストレート,外角高め,2B ,右,ストライク, , ,なし
2025-08-17 12:35:24,隅田百夏,,スライダー,外角低め,2B1S ,右,ボール, , ,なし
2025-08-17 12:35:33,隅田百夏,,ストレート,内角真ん中,3B1S ,右,7フライ, , ,レフト
2025-08-17 12:35:43,隅田百夏,,ストレート,内角高め,0,右,4ゴロ, , ,セカンド
2025-08-17 12:35:53,隅田百夏,,チェンジアップ,外角真ん中,0,右,5ゴロ, , ,サード
2025-08-17 18:20:10,隅田百夏,,ストレート,外角真ん中,0,右,ボール, , ,なし
2025-08-17 18:20:25,隅田百夏,96.0,ストレート,真ん中,1B ,右,ファール, , ,なし
2025-08-17 18:20:40,隅田百夏,96.0,スライダー,真ん中,1B1S,右,8E , , ,センター
2025-08-17 18:20:54,隅田百夏,,ストレート,内角高め,0,右,3ヒット, , ,ファースト
2025-08-17 18:21:06,隅田百夏,,ストレート,外角真ん中,0,右,ファール, , ,なし
2025-08-17 18:21:16,隅田百夏,,スライダー,外角低め,1S ,右,ボール, , ,なし
2025-08-17 18:21:23,隅田百夏,,ストレート,外角低め,2S ,右,空三振, , ,なし
2025-08-17 18:21:33,隅田百夏,,カーブ,内角低め,0,右,ボール, , ,なし
2025-08-17 18:21:51,隅田百夏,,ストレート,内角低め,1B ,右,ストライク, , ,なし
2025-08-17 18:21:56,隅田百夏,,ストレート,外角低め,1B1S,右,ストライク, , ,なし
2025-08-17 18:22:03,隅田百夏,,ストレート,外角高め,1B2S ,右,ボール, , ,なし
2025-08-17 18:22:13,隅田百夏,,カーブ,外角低め,2B2S ,右,ファール, , ,なし
2025-08-17 18:22:19,隅田百夏,,ストレート,内角真ん中,2B2S ,右,ファール, , ,なし
2025-08-17 18:22:30,隅田百夏,,スライダー,外角高め,2B2S ,右,4ゴロ, , ,セカンド
2025-08-17 18:22:51,隅田百夏,,ストレート,外角低め,0,右,ストライク, , ,なし
2025-08-17 18:22:59,隅田百夏,,ストレート,外角高め,1S ,右,ボール, , ,なし
2025-08-17 18:23:05,隅田百夏,,ストレート,外角真ん中,1B1S,右,ストライク, , ,なし
2025-08-17 18:23:27,隅田百夏,84.0,スライダー,真ん中低め,1B2S ,右,6ゴロ, , ,ショート
2025-08-17 18:23:37,隅田百夏,84.0,カーブ,外角高め,0,右,ボール, , ,なし
2025-08-17 18:23:54,隅田百夏,,ストレート,真ん中,1B ,左,ファール, , ,なし
2025-08-17 18:24:02,隅田百夏,,ストレート,外角真ん中,1B1S,左,ストライク, , ,なし
2025-08-17 18:24:11,隅田百夏,,カーブ,外角真ん中,1B2S ,左,ボール, , ,なし
2025-08-17 18:24:20,隅田百夏,,ストレート,真ん中高め,2B2S ,左,ボール, , ,なし
2025-08-17 18:24:27,隅田百夏,,ストレート,真ん中高め,3B2S ,左,ファール, , ,なし
2025-08-17 18:24:33,隅田百夏,,ストレート,内角低め,3B2S ,左,四球, , ,なし
2025-08-17 18:24:46,隅田百夏,,ストレート,外角高め,0,左,ボール, , ,なし
2025-08-17 18:24:58,隅田百夏,,ストレート,内角高め,1B ,左,ボール, , ,なし
2025-08-17 18:25:07,隅田百夏,,カーブ,真ん中低め,2B ,左,ボール, , ,なし
2025-08-17 18:25:16,隅田百夏,,ストレート,内角真ん中,3B ,右,4フライ, , ,セカンド
2025-08-17 18:25:47,隅田百夏,,ストレート,真ん中,0,右,ストライク, , ,なし
2025-08-17 18:25:55,隅田百夏,,ストレート,真ん中高め,1S ,右,ボール, , ,なし
2025-08-17 18:26:03,隅田百夏,,カーブ,真ん中,1B1S,右,ストライク, , ,なし
2025-08-17 18:26:34,隅田百夏,,カーブ,外角低め,1B2S ,右,ファール, , ,なし
2025-08-17 18:26:43,隅田百夏,,ストレート,外角真ん中,1B2S ,右,見三振, , ,なし
2025-08-17 18:26:56,隅田百夏,,ストレート,内角真ん中,0,左,6ゴロ, , ,ショート
2025-08-17 18:27:06,隅田百夏,,ストレート,外角真ん中,0,右,ボール, , ,なし
2025-08-17 18:27:17,隅田百夏,,ストレート,外角真ん中,1B ,右,ファール, , ,なし
2025-08-17 18:27:32,隅田百夏,,ストレート,真ん中高め,1B1S,右,7フライ, , ,レフト
2025-08-17 18:27:46,隅田百夏,,スライダー,真ん中,0,右,ストライク, , ,なし
2025-08-17 18:27:51,隅田百夏,,カーブ,外角真ん中,1S ,右,ストライク, , ,なし
2025-08-17 18:28:01,隅田百夏,,ストレート,外角高め,2S ,右,ボール, , ,なし
2025-08-17 18:28:19,隅田百夏,,スライダー,外角低め,1B2S ,右,9ヒット, , ,ライト
2025-08-17 18:28:30,隅田百夏,,ストレート,真ん中,0,右,ファール, , ,なし
2025-08-17 18:28:38,隅田百夏,,スライダー,外角真ん中,1S ,右,ストライク, , ,なし
2025-08-17 18:28:45,隅田百夏,,ストレート,外角真ん中,2S ,右,ボール, , ,なし
2025-08-17 18:28:51,隅田百夏,,ストレート,外角真ん中,1B2S ,右,空三振, , ,なし
2025-08-19 16:02:23,隅田百夏,,カーブ,内角低め,0,左,ボール, , ,なし
2025-08-19 16:02:33,隅田百夏,,カーブ,内角低め,1B ,左,3ゴロ, , ,ファースト
2025-08-19 16:02:52,隅田百夏,,ストレート,外角低め,0,左,ボール, , ,なし
2025-08-19 16:02:59,隅田百夏,,スライダー,真ん中高め,1B ,左,ボール, , ,なし
2025-08-19 16:03:09,隅田百夏,,ストレート,真ん中高め,2B ,左,8フライ, , ,センター
2025-08-19 16:03:18,隅田百夏,,ストレート,外角真ん中,0,右,ボール, , ,なし
2025-08-19 16:03:33,隅田百夏,,ストレート,真ん中,1B ,右,8ヒット, , ,センター
2025-08-19 16:03:42,隅田百夏,,カーブ,外角低め,0,左,ボール, , ,なし
2025-08-19 16:03:49,隅田百夏,,ストレート,内角高め,1B ,左,ファール, , ,なし
2025-08-19 16:04:03,隅田百夏,,ストレート,外角高め,1B1S,左,6ヒット, , ,ショート
2025-08-19 16:04:13,隅田百夏,,スライダー,内角真ん中,0,左,ストライク, , ,なし
2025-08-19 16:04:21,隅田百夏,,ストレート,外角真ん中,1S ,左,ファール, , ,なし
2025-08-19 16:04:28,隅田百夏,,ストレート,内角高め,2S ,左,死球, , ,なし
2025-08-19 16:04:36,隅田百夏,,スライダー,外角低め,0,右,ボール, , ,なし
2025-08-19 16:05:00,隅田百夏,,ストレート,外角真ん中,1B ,右,72B , , ,左中間
2025-08-19 16:05:12,隅田百夏,,カーブ,真ん中低め,,右,6ゴロ, , ,ショート
2025-08-19 16:05:23,隅田百夏,,ストレート,外角高め,0,左,3ゴロ, , ,ファースト
2025-08-19 16:05:40,隅田百夏,,ストレート,真ん中,0,右,ファール, , ,なし
2025-08-19 16:05:49,隅田百夏,,チェンジアップ,内角真ん中,1S ,右,ストライク, , ,なし
2025-08-19 16:05:58,隅田百夏,,ストレート,外角真ん中,2S ,右,3ゴロ, , ,ファースト
2025-08-19 16:06:11,隅田百夏,,カーブ,外角低め,0,左,ボール, , ,なし
2025-08-19 16:06:18,隅田百夏,,カーブ,外角真ん中,1B ,左,ボール, , ,なし
2025-08-19 16:06:31,隅田百夏,,カーブ,外角真ん中,2B ,左,7ヒット, , ,レフト
2025-08-19 16:06:56,隅田百夏,,ストレート,真ん中,0,左,空三振, , ,なし
2025-08-19 16:07:06,隅田百夏,,ストレート,外角高め,0,右,ボール, , ,なし
2025-08-20 22:03:53,隅田百夏,,ストレート,真ん中低め,0,右,ボール, , ,なし
2025-08-20 22:04:07,隅田百夏,,ストレート,外角低め,1B ,右,8フライ, , ,センター
2025-08-20 22:04:12,隅田百夏,,ストレート,外角真ん中,0,右,ストライク, , ,なし
2025-08-20 22:04:16,隅田百夏,,カーブ,外角低め,1S ,右,ストライク, , ,なし
2025-08-20 22:04:25,隅田百夏,,カーブ,外角低め,2S ,右,ボール, , ,なし
2025-08-20 22:04:30,隅田百夏,,ストレート,内角低め,1B2S ,右,ボール, , ,なし
2025-08-20 22:04:36,隅田百夏,,ストレート,真ん中,2B2S ,右,ファール, , ,なし
2025-08-20 22:04:45,隅田百夏,,ストレート,内角真ん中,2B2S ,右,ファール, , ,なし
2025-08-20 22:04:54,隅田百夏,,ストレート,内角真ん中,2B2S ,右,9フライ, , ,ライト
2025-08-20 22:05:02,隅田百夏,,カーブ,内角高め,0,左,ストライク, , ,なし
2025-08-20 22:05:17,隅田百夏,,チェンジアップ,真ん中,1S ,左,9ヒット, , ,ライト
2025-08-20 22:05:34,隅田百夏,,スライダー,外角高め,0,右,ボール, , ,なし
2025-08-20 22:05:44,隅田百夏,,カーブ,真ん中高め,1B ,右,7ライナー, , ,レフト
2025-08-20 22:05:52,隅田百夏,,ストレート,真ん中低め,0,左,ボール, , ,なし
2025-08-20 22:05:58,隅田百夏,,チェンジアップ,外角低め,1B ,左,ボール, , ,なし
2025-08-20 22:06:08,隅田百夏,,ストレート,外角真ん中,2B ,左,4ゴロ, , ,セカンド
2025-08-20 22:06:17,隅田百夏,,カーブ,外角低め,0,左,ボール, , ,なし
2025-08-20 22:06:30,隅田百夏,,ストレート,内角真ん中,1B ,左,8ヒット, , ,センター
2025-08-20 22:06:40,隅田百夏,,ストレート,外角真ん中,0,右,ボール, , ,なし
2025-08-20 22:06:47,隅田百夏,,ストレート,外角低め,1B ,右,ボール, , ,なし
2025-08-20 22:06:59,隅田百夏,,カーブ,外角真ん中,2B ,右,6フライ, , ,ショート
2025-08-20 22:13:40,隅田百夏,,カーブ,真ん中,0,左,6フライ, , ,ショート
2025-08-20 22:13:49,隅田百夏,,ストレート,外角高め,0,右,ボール, , ,なし
2025-08-20 22:13:55,隅田百夏,,ストレート,真ん中高め,1B ,右,ボール, , ,なし
2025-08-20 22:14:08,隅田百夏,,スライダー,外角真ん中,2B ,右,9フライ, , ,ライト
2025-08-20 22:14:32,隅田百夏,,スライダー,外角低め,0,右,ボール, , ,なし
2025-08-20 22:14:37,隅田百夏,,ストレート,真ん中高め,1B ,右,ファール, , ,なし
2025-08-20 22:14:45,隅田百夏,,ストレート,外角低め,1B1S,右,ボール, , ,なし
2025-08-20 22:14:54,隅田百夏,,カーブ,真ん中低め,2B1S ,右,ボール, , ,なし
2025-08-20 22:14:59,隅田百夏,,ストレート,内角低め,3B1S ,右,四球, , ,なし
2025-08-20 22:15:10,隅田百夏,,ストレート,外角真ん中,0,左,9ヒット, , ,ライト
2025-08-20 22:15:19,隅田百夏,,カーブ,真ん中低め,0,右,ボール, , ,なし
2025-08-20 22:15:24,隅田百夏,,ストレート,外角真ん中,1B ,右,ストライク, , ,なし
2025-08-20 22:15:31,隅田百夏,,カーブ,外角低め,1B1S,右,ストライク, , ,なし
2025-08-20 22:15:38,隅田百夏,,カーブ,外角低め,1B2S ,右,見三振, , ,なし
2025-08-20 22:15:50,隅田百夏,,カーブ,外角高め,0,右,ボール, , ,なし
2025-08-20 22:15:56,隅田百夏,,ストレート,真ん中,1B ,右,ファール, , ,なし
2025-08-20 22:16:06,隅田百夏,,ストレート,外角高め,1B1S,右,ボール, , ,なし
2025-08-20 22:16:18,隅田百夏,,カーブ,外角高め,2B1S ,右,82B , , ,センター
2025-08-20 22:16:25,隅田百夏,,ストレート,真ん中低め,0,右,ストライク, , ,なし
2025-08-20 22:16:38,隅田百夏,,ストレート,真ん中,1S ,右,3バント, , ,ファースト
2025-08-20 22:16:52,隅田百夏,,ストレート,真ん中,0,左,ファール, , ,なし
2025-08-20 22:17:00,隅田百夏,,ストレート,外角真ん中,1S ,左,ファール, , ,なし
2025-08-20 22:17:09,隅田百夏,,ストレート,真ん中高め,2S ,左,ボール, , ,なし
2025-08-20 22:17:17,隅田百夏,,チェンジアップ,真ん中高め,1B2S ,左,ファール, , ,なし
2025-08-20 22:17:23,隅田百夏,,ストレート,真ん中,1B2S ,左,ファール, , ,なし
2025-08-20 22:17:30,隅田百夏,,ストレート,外角高め,2B2S ,左,ボール, , ,なし
2025-08-20 22:17:42,隅田百夏,,ストレート,外角真ん中,2B2S ,左,6E , , ,ショート
2025-08-20 22:17:54,隅田百夏,,ストレート,真ん中,0,左,6ゴロ, , ,ショート
2025-08-20 22:18:04,隅田百夏,,カーブ,真ん中,0,右,ストライク, , ,なし
2025-08-20 22:18:14,隅田百夏,,カーブ,外角真ん中,1S ,右,7E , , ,レフト
2025-08-20 22:18:23,隅田百夏,,ストレート,外角真ん中,0,右,ファール, , ,なし
2025-08-20 22:18:31,隅田百夏,,スライダー,外角低め,1S ,右,ボール, , ,なし
2025-08-20 22:18:36,隅田百夏,,スライダー,外角真ん中,1B1S,右,ストライク, , ,なし
2025-08-20 22:18:43,隅田百夏,,スライダー,内角低め,1B2S ,右,ボール, , ,なし
2025-08-20 22:18:51,隅田百夏,,ストレート,外角低め,2B2S ,右,ボール, , ,なし
2025-08-20 22:18:57,隅田百夏,,ストレート,外角高め,3B2S ,右,四球, , ,なし
2025-08-20 22:19:03,隅田百夏,,ストレート,外角低め,0,右,ストライク, , ,なし
2025-08-20 22:19:12,隅田百夏,,ストレート,外角高め,1S ,右,ボール, , ,なし
2025-08-20 22:19:18,隅田百夏,,カーブ,真ん中低め,1B1S,右,ボール, , ,なし
2025-08-20 22:19:25,隅田百夏,,スライダー,外角真ん中,2B1S ,右,ストライク, , ,なし
2025-08-20 22:19:32,隅田百夏,,ストレート,外角低め,2B2S ,右,ボール, , ,なし
2025-08-20 22:19:42,隅田百夏,,ストレート,外角高め,3B2S ,右,ファール, , ,なし
2025-08-20 22:19:48,隅田百夏,,チェンジアップ,内角高め,3B2S ,右,空三振, , ,なし
