日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-11 16:52:27,細川美彩輝,,ストレート,内角低め,2B2S ,右,ファール, , ,なし
2025-08-11 16:52:34,細川美彩輝,,スライダー,真ん中高め,2B2S ,右,ボール, , ,なし
2025-08-11 16:52:42,細川美彩輝,,ストレート,真ん中高め,3B2S ,右,四球, , ,なし
2025-08-11 16:52:51,細川美彩輝,,ストレート,外角高め,0,右,ファール, , ,なし
2025-08-11 16:53:08,細川美彩輝,,ストレート,真ん中,1S ,右,92B , , ,ライト
2025-08-11 16:53:22,細川美彩輝,,スライダー,外角真ん中,0,右,ストライク, , ,なし
2025-08-11 16:53:28,細川美彩輝,,ストレート,外角真ん中,1S ,右,ストライク, , ,なし
2025-08-11 16:53:39,細川美彩輝,,ストレート,真ん中高め,2S ,右,9ヒット, , ,ライト
2025-08-11 16:53:48,細川美彩輝,,スライダー,真ん中,0,左,ファール, , ,なし
2025-08-11 16:53:59,細川美彩輝,,チェンジアップ,外角高め,1S ,左,ボール, , ,なし
2025-08-11 16:54:13,細川美彩輝,,スライダー,内角真ん中,1B1S,左,ファール, , ,なし
2025-08-11 16:54:25,細川美彩輝,,ストレート,外角真ん中,1B2S ,左,空三振, , ,なし
2025-08-11 16:54:35,細川美彩輝,,スライダー,真ん中低め,0,左,ファール, , ,なし
2025-08-11 16:54:49,細川美彩輝,,ストレート,外角高め,1S ,左,ボール, , ,なし
2025-08-11 16:55:05,細川美彩輝,,スライダー,外角高め,1B1S,左,8ライナー, , ,センター
2025-08-11 16:55:16,細川美彩輝,,スライダー,外角低め,0,右,ボール, , ,なし
2025-08-11 16:55:23,細川美彩輝,,ストレート,外角高め,1B ,右,ボール, , ,なし
2025-08-11 16:55:31,細川美彩輝,,ストレート,真ん中,2B ,右,ストライク, , ,なし
2025-08-11 16:55:40,細川美彩輝,,スライダー,真ん中,2B1S ,右,ファール, , ,なし
2025-08-11 16:55:51,細川美彩輝,,スライダー,内角低め,2B2S ,右,6ゴロ, , ,なし
2025-08-11 16:56:09,細川美彩輝,,スライダー,外角真ん中,,右,ストライク, , ,ショート
2025-08-11 16:56:23,細川美彩輝,,カーブ,外角高め,1S ,右,ボール, , ,なし
2025-08-11 16:56:35,細川美彩輝,,チェンジアップ,内角真ん中,1B1S,右,7ヒット, , ,レフト
2025-08-11 16:56:53,細川美彩輝,,ストレート,真ん中高め,0,左,ボール, , ,なし
2025-08-11 16:57:03,細川美彩輝,,スライダー,真ん中,1B ,左,ストライク, , ,なし
2025-08-11 16:57:15,細川美彩輝,,ストレート,外角高め,1B1S,左,ボール, , ,なし
2025-08-11 16:57:33,細川美彩輝,,チェンジアップ,外角低め,2B1S ,左,3ゴロ, , ,ファースト
2025-08-11 16:57:47,細川美彩輝,,スライダー,真ん中低め,0,左,ボール, , ,なし
2025-08-11 16:57:56,細川美彩輝,,カーブ,外角低め,1B ,左,ストライク, , ,なし
2025-08-11 16:58:05,細川美彩輝,,ストレート,内角真ん中,1B1S,左,ボール, , ,なし
2025-08-11 16:58:19,細川美彩輝,,チェンジアップ,外角低め,2B1S ,左,4ライナー, , ,セカンド
2025-08-11 16:58:32,細川美彩輝,,スライダー,真ん中低め,0,右,ボール, , ,なし
2025-08-11 16:58:41,細川美彩輝,,ストレート,内角低め,1B ,右,ボール, , ,なし
2025-08-11 16:58:51,細川美彩輝,,スライダー,外角低め,2B ,右,ボール, , ,なし
2025-08-11 16:59:01,細川美彩輝,,ストレート,真ん中,3B ,右,ストライク, , ,なし
2025-08-11 16:59:07,細川美彩輝,,ストレート,内角真ん中,3B1S ,右,ストライク, , ,なし
2025-08-11 16:59:28,細川美彩輝,,スライダー,真ん中低め,3B2S ,右,83B , , ,センター
2025-08-11 16:59:38,細川美彩輝,,スライダー,外角低め,0,,ボール, , ,なし
2025-08-11 16:59:47,細川美彩輝,,ストレート,真ん中高め,1B ,右,ボール, , ,なし
2025-08-11 16:59:54,細川美彩輝,,チェンジアップ,内角真ん中,2B ,右,ストライク, , ,なし
2025-08-11 17:00:09,細川美彩輝,,ストレート,真ん中高め,2B1S ,右,7フライ, , ,レフト
2025-08-11 17:00:16,細川美彩輝,,ストレート,外角真ん中,0,右,ストライク, , ,なし
2025-08-11 17:00:35,細川美彩輝,,スライダー,外角低め,1S ,右,ボール, , ,なし
2025-08-11 17:00:55,細川美彩輝,,ストレート,内角真ん中,1B1S,右,72B , , ,レフト
2025-08-11 17:01:06,細川美彩輝,,ストレート,外角真ん中,0,左,ストライク, , ,なし
2025-08-11 17:01:16,細川美彩輝,,カーブ,外角真ん中,1S ,左,ファール, , ,なし
2025-08-11 17:01:25,細川美彩輝,,ストレート,外角低め,2S ,左,ボール, , ,なし
2025-08-11 17:01:41,細川美彩輝,,スライダー,内角高め,1B2S ,左,9ヒット, , ,ライト
2025-08-11 17:01:52,細川美彩輝,,ストレート,外角真ん中,0,左,ストライク, , ,なし
2025-08-11 17:02:02,細川美彩輝,,スライダー,真ん中,1S ,左,4ゴロ, , ,セカンド
2025-08-11 17:02:17,細川美彩輝,,スライダー,外角低め,0,右,ボール, , ,なし
2025-08-11 17:02:25,細川美彩輝,,ストレート,外角真ん中,1B ,右,ストライク, , ,なし
2025-08-11 17:02:36,細川美彩輝,,カーブ,外角低め,1B1S,右,ボール, , ,なし
2025-08-11 17:02:50,細川美彩輝,,カーブ,真ん中低め,2B1S ,右,6ゴロ, , ,ショート
2025-08-11 17:03:03,細川美彩輝,,チェンジアップ,真ん中,0,右,ストライク, , ,なし
2025-08-11 17:03:15,細川美彩輝,,ストレート,真ん中高め,1S ,右,ファール, , ,なし
2025-08-11 17:03:27,細川美彩輝,,スライダー,外角真ん中,2S ,右,ボール, , ,なし
2025-08-11 17:03:38,細川美彩輝,,カーブ,外角低め,1B2S ,右,ファール, , ,なし
2025-08-11 17:03:45,細川美彩輝,,チェンジアップ,内角真ん中,1B2S ,右,ファール, , ,なし
2025-08-11 17:03:58,細川美彩輝,,スライダー,真ん中低め,1B2S ,右,ボール, , ,なし
2025-08-11 17:04:10,細川美彩輝,,ストレート,内角真ん中,2B2S ,右,8ヒット, , ,センター
2025-08-11 17:04:28,細川美彩輝,,チェンジアップ,外角低め,0,左,ファール, , ,なし
2025-08-11 17:04:37,細川美彩輝,,ストレート,外角高め,1S ,左,ボール, , ,なし
2025-08-11 17:04:48,細川美彩輝,,ストレート,真ん中高め,1B1S,左,ボール, , ,なし
2025-08-11 17:04:57,細川美彩輝,,ストレート,真ん中高め,1B2S ,左,ファール, , ,なし
2025-08-11 17:05:12,細川美彩輝,,ストレート,真ん中,2B2S ,左,4ライナー, , ,セカンド
2025-08-11 17:05:23,細川美彩輝,,スライダー,真ん中,0,左,ストライク, , ,なし
2025-08-11 17:05:30,細川美彩輝,,ストレート,真ん中低め,1S ,,ストライク, , ,なし
2025-08-11 17:05:42,細川美彩輝,,ストレート,外角真ん中,2S ,左,ボール, , ,なし
2025-08-11 17:05:59,細川美彩輝,,チェンジアップ,外角低め,1B2S ,左,4ゴロ, , ,セカンド
2025-08-11 17:06:12,細川美彩輝,,スライダー,真ん中低め,0,右,ボール, , ,なし
2025-08-11 17:06:21,細川美彩輝,,ストレート,内角低め,1B ,右,ストライク, , ,なし
2025-08-11 17:06:29,細川美彩輝,,スライダー,外角真ん中,1B1S,右,ストライク, , ,なし
2025-08-11 17:06:38,細川美彩輝,,スライダー,外角真ん中,1B2S ,右,1ゴロ, , ,なし
2025-08-11 17:06:47,細川美彩輝,,スライダー,真ん中,0,右,1ゴロ, , ,なし
2025-08-11 17:06:55,細川美彩輝,,チェンジアップ,外角真ん中,0,右,ストライク, , ,なし
2025-08-11 17:07:01,細川美彩輝,,ストレート,外角真ん中,1S ,右,ストライク, , ,なし
2025-08-11 17:07:12,細川美彩輝,,スライダー,外角真ん中,2S ,右,ボール, , ,なし
2025-08-11 17:07:19,細川美彩輝,,スライダー,外角真ん中,1B2S ,右,ボール, , ,なし
2025-08-11 17:07:33,細川美彩輝,,スライダー,外角低め,2B2S ,右,ファール, , ,なし
2025-08-11 17:07:40,細川美彩輝,,カーブ,内角低め,3B2S ,右,死球, , ,なし
2025-08-11 17:07:54,細川美彩輝,,スライダー,真ん中低め,0,左,ボール, , ,なし
2025-08-11 17:08:11,細川美彩輝,,ストレート,外角高め,1B ,左,9フライ, , ,ライト
2025-08-11 17:08:21,細川美彩輝,,スライダー,外角高め,0,左,ボール, , ,なし
2025-08-11 17:08:28,細川美彩輝,,チェンジアップ,内角低め,1B ,左,ボール, , ,なし
2025-08-11 17:08:40,細川美彩輝,,ストレート,外角真ん中,2B ,左,ストライク, , ,なし
2025-08-11 17:08:50,細川美彩輝,,ストレート,外角低め,2B1S ,左,ストライク, , ,なし
2025-08-11 17:08:58,細川美彩輝,,チェンジアップ,外角真ん中,2B2S ,左,ファール, , ,なし
2025-08-11 17:09:06,細川美彩輝,,ストレート,外角低め,2B2S ,左,ボール, , ,なし
2025-08-11 17:09:20,細川美彩輝,,チェンジアップ,真ん中,3B2S ,左,9ライナー, , ,ライト
2025-08-11 17:09:37,細川美彩輝,,チェンジアップ,真ん中,0,右,ストライク, , ,なし
