日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-05 21:59:57,柏崎咲和,,ストレート,真ん中高め,2S ,右,空三振, , ,なし
2025-08-05 22:00:21,柏崎咲和,,ストレート,内角真ん中,0 ,右,ストライク, , ,なし
2025-08-05 22:00:31,柏崎咲和,,ストレート,真ん中高め,1S ,右,ボール, , ,なし
2025-08-05 22:00:49,柏崎咲和,,ストレート,真ん中高め,1B1S,右,8フライ, , ,センター
2025-08-05 22:05:17,柏崎咲和,,ストレート,真ん中,0 ,左,ストライク, , ,なし
2025-08-05 22:05:35,柏崎咲和,,ストレート,真ん中,1S ,左,8フライ, , ,センター
2025-08-05 22:05:47,柏崎咲和,,カーブ,真ん中低め,0 ,左,ストライク, , ,なし
2025-08-05 22:06:09,柏崎咲和,,ストレート,真ん中高め,1S ,左,6ライナー, , ,ショート
2025-08-05 22:06:39,柏崎咲和,,ストレート,真ん中,0 ,右,3フライ, , ,ファースト
2025-08-05 22:11:14,柏崎咲和,,カーブ,外角低め,0 ,右,ボール, , ,なし
2025-08-05 22:11:23,柏崎咲和,,ストレート,外角高め,1B ,右,ストライク, , ,なし
2025-08-05 22:11:35,柏崎咲和,,カーブ,内角真ん中,1B1S,右,ストライク, , ,なし
2025-08-05 22:11:53,柏崎咲和,,ストレート,外角真ん中,1B2S ,右,ファール, , ,なし
2025-08-05 22:12:21,柏崎咲和,,ストレート,外角真ん中,1B2S ,右,ファール, , ,なし
2025-08-05 22:12:58,柏崎咲和,,スライダー,真ん中低め,1B2S ,右,1ゴロ, , ,なし
2025-08-05 22:13:16,柏崎咲和,,スライダー,真ん中,0 ,右,ストライク, , ,なし
2025-08-05 22:13:39,柏崎咲和,,スライダー,外角低め,1S ,右,9ヒット, , ,ライト
2025-08-05 22:14:10,柏崎咲和,,ストレート,真ん中低め,0 ,右,ストライク, , ,なし
2025-08-05 22:14:26,柏崎咲和,,スライダー,外角高め,1B ,右,ストライク, , ,なし
2025-08-05 22:15:04,柏崎咲和,,ストレート,真ん中高め,1B1S,右,ファール, , ,なし
2025-08-05 22:15:50,柏崎咲和,,ストレート,外角高め,1B2S ,右,9ヒット, , ,ライト
2025-08-05 22:17:35,柏崎咲和,,ストレート,真ん中,1B ,右,ストライク, , ,なし
2025-08-05 22:17:59,柏崎咲和,,カーブ,外角高め,1B1S,右,ボール, , ,なし
2025-08-05 22:18:25,柏崎咲和,,ストレート,真ん中,2B1S ,右,7ヒット, , ,レフト
2025-08-05 22:19:14,柏崎咲和,,ストレート,外角低め,0 ,右,ストライク, , ,なし
2025-08-05 22:19:35,柏崎咲和,,ストレート,外角真ん中,1S ,右,ストライク, , ,なし
2025-08-05 22:19:59,柏崎咲和,,ストレート,外角真ん中,2S ,右,ボール, , ,なし
2025-08-05 22:20:18,柏崎咲和,,ストレート,外角低め,1B2S ,右,空三振, , ,なし
2025-08-05 22:20:49,柏崎咲和,,ストレート,外角高め,0 ,右,ストライク, , ,なし
2025-08-05 22:21:09,柏崎咲和,,スライダー,外角真ん中,1S ,右,ストライク, , ,なし
2025-08-05 22:21:31,柏崎咲和,,ストレート,外角高め,2S ,右,ファール, , ,なし
2025-08-05 22:21:52,柏崎咲和,,ストレート,外角高め,2S ,右,ボール, , ,なし
2025-08-05 22:22:17,柏崎咲和,,ストレート,外角高め,1B2S ,右,ファール, , ,なし
2025-08-05 22:22:50,柏崎咲和,,スライダー,外角低め,1B2S ,右,ファール, , ,なし
