日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-18 16:12:52,中谷麗,,ストレート,外角真ん中,1S ,左,ファール, , ,なし
2025-08-18 16:13:14,中谷麗,,ストレート,外角高め,2S ,左,7ライナー, , ,レフト
2025-08-18 16:13:38,中谷麗,,カーブ,真ん中高め,0,左,ボール, , ,なし
2025-08-18 16:13:53,中谷麗,,スライダー,外角低め,1B ,左,ストライク, , ,なし
2025-08-18 16:14:26,中谷麗,,ストレート,真ん中高め,1B1S,左,83B , , ,左中間
2025-08-18 16:15:16,中谷麗,,ストレート,外角高め,0,左,ファール, , ,なし
2025-08-18 16:15:45,中谷麗,,スライダー,外角低め,1S ,左,ボール, , ,なし
2025-08-18 16:16:05,中谷麗,,ストレート,外角高め,1B1S,左,1バント, , ,なし
2025-08-18 16:16:18,中谷麗,,カーブ,真ん中,0,右,ストライク, , ,なし
2025-08-18 16:16:32,中谷麗,,ストレート,真ん中,1S ,右,ファール, , ,なし
2025-08-18 16:16:47,中谷麗,,ストレート,外角高め,2S ,右,ファール, , ,なし
2025-08-18 16:17:13,中谷麗,,ストレート,真ん中高め,2S ,右,9フライ, , ,ライト
2025-08-18 16:17:34,中谷麗,,カーブ,内角高め,0,左,ボール, , ,なし
2025-08-18 16:17:44,中谷麗,,ストレート,内角高め,1B ,左,ボール, , ,なし
2025-08-18 16:17:57,中谷麗,,ストレート,外角高め,2B ,左,ファール, , ,なし
2025-08-18 16:18:23,中谷麗,,スライダー,外角高め,2B1S ,左,ボール, , ,なし
2025-08-18 16:18:35,中谷麗,,ストレート,内角真ん中,3B1S ,左,ファール, , ,なし
2025-08-18 16:18:50,中谷麗,,ストレート,内角高め,3B2S ,左,死球, , ,なし
2025-08-18 16:19:07,中谷麗,,ストレート,外角低め,0,,ボール, , ,なし
2025-08-18 16:19:19,中谷麗,,ストレート,真ん中低め,1B ,左,ボール, , ,なし
2025-08-18 16:19:31,中谷麗,,ストレート,外角高め,2B ,左,ストライク, , ,なし
2025-08-18 16:19:47,中谷麗,,ストレート,内角低め,2B1S ,左,ボール, , ,なし
2025-08-18 16:20:12,中谷麗,,ストレート,真ん中,3B1S ,左,9ヒット, , ,ライト
